證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","32,687,820","2,515,225,203","76.80","77.45","76.10","76.85","+2.60","17,188"
"0051","元大中型100","40,645","1,133,484","27.75","27.98","27.75","27.84","+1.22","39"
"0052","富邦科技","178,101","10,633,860","58.30","60.10","58.30","59.50","+2.10","74"
"0053","元大電子","18,000","623,660","34.71","34.71","34.35","34.53","+1.23","16"
"0054","元大台商50","6,000","118,160","19.61","19.80","19.61","19.61","+0.73","6"
"0055","元大MSCI金融","129,000","2,004,480","15.60","15.75","15.30","15.34","+0.22","84"
"0056","元大高股息","57,250,013","1,387,175,462","24.11","24.35","24.01","24.09","+0.71","25,443"
"0057","富邦摩台","27,000","1,359,650","50.05","50.65","50.05","50.10","+1.49","9"
"0061","元大寶滬深","438,400","7,338,050","16.66","16.81","16.66","16.68","+0.41","203"
"006203","元大MSCI台灣","6,000","214,040","35.52","35.90","35.52","35.90","+1.58","5"
"006204","永豐臺灣加權","21,000","1,009,560","47.80","48.41","47.80","47.80","+1.75","12"
"006205","富邦上証","1,868,588","52,505,574","27.83","28.40","27.83","28.10","+0.86","317"
"006206","元大上證50","132,142","3,854,263","29.00","29.50","29.00","29.14","+0.84","89"
"006207","FH滬深","70,000","1,519,050","21.85","21.90","21.62","21.75","+0.75","31"
"006208","富邦台50","1,566,002","68,995,174","43.99","44.30","43.59","43.80","+1.23","753"
"00625K","富邦上証+R","52,000","344,710","6.56","6.65","6.56","6.63","+0.18","4"
"00631L","元大台灣50正2","38,962,226","1,311,695,393","33.50","34.25","32.86","33.41","+2.01","9,374"
"00632R","元大台灣50反1","333,826,334","4,001,315,638","11.93","12.15","11.86","12.00","-0.46","32,553"
"00633L","富邦上証正2","24,771,400","908,279,548","36.44","37.21","36.20","36.77","+2.41","4,443"
"00634R","富邦上証反1","11,061,000","68,618,070","6.25","6.27","6.16","6.23","-0.21","879"
"00635U","元大S&P黃金","6,288,909","148,652,291","23.75","23.80","23.50","23.50","+0.78","1,736"
"00636","國泰中國A50","1,564,653","30,226,682","19.00","19.44","19.00","19.30","+0.55","432"
"00636K","國泰中國A50+U","100","638","6.38","6.38","6.38","6.38","+0.27","1"
"00637L","元大滬深300正2","152,510,979","2,144,677,968","13.96","14.28","13.90","14.12","+0.93","14,693"
"00638R","元大滬深300反1","4,972,000","62,566,350","12.57","12.66","12.48","12.58","-0.51","718"
"00639","富邦深100","2,036,518","21,563,251","10.40","10.65","10.40","10.61","+0.42","311"
"00640L","富邦日本正2","3,431,000","49,679,210","14.15","14.80","14.05","14.70","+1.67","721"
"00641R","富邦日本反1","3,821,000","61,938,620","16.48","16.48","16.02","16.19","-1.03","1,152"
"00642U","元大S&P石油","39,627,340","416,239,309","10.55","10.59","10.44","10.46","+0.10","7,811"
"00643","群益深証中小","1,597,000","20,626,980","12.78","13.00","12.78","12.88","+0.51","339"
"00643K","群益深証中小+R","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"00645","富邦日本","246,534","4,455,020","18.08","18.27","17.88","18.11","+1.17","70"
"00646","元大S&P500","4,297,725","96,342,052","22.99","22.99","22.21","22.45","+0.96","1,390"
"00647L","元大S&P500正2","8,048,000","180,292,530","22.40","22.88","22.00","22.50","+1.92","1,728"
"00648R","元大S&P500反1","7,224,200","100,633,300","13.95","14.11","13.76","13.92","-0.76","1,255"
"00650L","FH香港正2","261,000","5,271,690","20.47","20.52","19.72","20.07","+1.19","104"
"00651R","FH香港反1","781,000","7,287,760","9.26","9.49","9.10","9.45","-0.31","210"
